model_name,arch_type,latency_ms,achieved_tflops,pcu_utilization_pct,total_energy_j,sram_spilled,tflops_per_dollar,bottleneck
LLaMA-3-70B (Training Large-Batch),RDU,138.29242397681162,930.2234840526215,88.71302452589241,3.6864778043392,Yes,24.746567811987802,Activation Spill Stall
LLaMA-3-70B (Training Large-Batch),NPU,137.49223825274584,935.6372554886595,92.28211158319849,4.4696650907648,Yes,42.509643593305746,Activation Spill Stall
DeepSeek-V3 (Training Large-Batch),RDU,61.146967188405796,896.8252221955822,85.52791807132552,1.7200974921728,Yes,23.858079866868373,Activation Spill Stall
DeepSeek-V3 (Training Large-Batch),NPU,62.75835602440768,873.7982622425707,86.18291786100345,2.8366782595071998,Yes,39.700057348594754,Activation Spill Stall
LLaMA-3-70B (Serving Extreme Context),RDU,105.0340912231884,942.1326480520208,89.84877090950211,2.8145994432512,Yes,25.063385157010394,Activation Spill Stall
LLaMA-3-70B (Serving Extreme Context),NPU,104.80752686108656,944.1692735579745,93.12362643191106,3.194918797312,Yes,42.897286395182846,Activation Spill Stall
DeepSeek-V3 (Serving Extreme Context),RDU,30.549995594202898,897.5147355787831,85.59367519176323,0.9211262009344,Yes,23.876422867219553,Activation Spill Stall
DeepSeek-V3 (Serving Extreme Context),NPU,32.67658601220384,839.104526018223,82.76106690465052,1.6851975274496,Yes,38.12378582545311,Activation Spill Stall
