model_name,model_type,total_tiles,total_sram_mb,peak_compute_tflops,latency_ms,compute_time_ms,weight_stream_time_ms,noc_total_latency_ms,act_spill_time_ms,achieved_tflops,pcu_utilization_pct,total_energy_j,sram_spilled,bottleneck,grid_dim,sram_per_tile_kb,compression,hbm_bandwidth_gb_s
LLaMA-3-70B,dense,1024,64.0,1048.576,19.412779408695652,18.80598260869565,0.7918933333333333,0.5120426666666666,0.07099733333333333,934.5360330101726,89.1243012437985,0.7082401071104001,True,Compute Pipeline Bound (Balanced Design),32x32,64,INT4,2400.0
DeepSeek-V3-MoE,moe,1024,64.0,1048.576,65.96706318840579,65.44695652173912,0.49066666666666664,0.4480426666666667,0.057344,957.0839779676085,91.27464084316334,1.7402033078272001,True,Compute Pipeline Bound (Balanced Design),32x32,64,INT4,2400.0
LLaMA-3-70B,dense,1024,64.0,1048.576,19.365402342028982,18.80598260869565,0.39594666666666667,0.5120426666666666,0.035498666666666664,936.8223565864319,89.34234205116576,0.7082401071104001,True,Compute Pipeline Bound (Balanced Design),32x32,64,INT4,4800.0
DeepSeek-V3-MoE,moe,1024,64.0,1048.576,65.9310311884058,65.44695652173912,0.24533333333333332,0.4480426666666667,0.028672,957.6070343990417,91.32452339163224,1.7402033078272001,True,Compute Pipeline Bound (Balanced Design),32x32,64,INT4,4800.0
LLaMA-3-70B,dense,1024,128.0,1048.576,21.669948475362318,18.80598260869565,1.5837866666666667,2.048042666666667,0.720896,837.1935853438004,79.84100202024463,0.7942468272128,True,Compute Pipeline Bound (Balanced Design),32x32,128,None,1200.0
DeepSeek-V3-MoE,moe,1024,128.0,1048.576,67.90954852173913,65.44695652173912,0.9813333333333333,1.7920426666666667,0.6116693333333333,929.7075393011775,88.66382020007873,1.8140499017728,True,Compute Pipeline Bound (Balanced Design),32x32,128,None,1200.0
LLaMA-3-70B,dense,1024,128.0,1048.576,21.261986875362318,18.80598260869565,0.7918933333333333,2.048042666666667,0.360448,853.2571280686038,81.37294083295859,0.7942468272128,True,Compute Pipeline Bound (Balanced Design),32x32,128,None,2400.0
DeepSeek-V3-MoE,moe,1024,128.0,1048.576,67.57427385507245,65.44695652173912,0.49066666666666664,1.7920426666666667,0.30583466666666664,934.32035076853,89.10373218236256,1.8140499017728,True,Compute Pipeline Bound (Balanced Design),32x32,128,None,2400.0
LLaMA-3-70B,dense,1024,128.0,1048.576,21.058006075362318,18.80598260869565,0.39594666666666667,2.048042666666667,0.180224,861.5223014647104,82.16116919180969,0.7942468272128,True,Compute Pipeline Bound (Balanced Design),32x32,128,None,4800.0
DeepSeek-V3-MoE,moe,1024,128.0,1048.576,67.40663652173912,65.44695652173912,0.24533333333333332,1.7920426666666667,0.15291733333333332,936.6439642903438,89.32532923606337,1.8140499017728,True,Compute Pipeline Bound (Balanced Design),32x32,128,None,4800.0
