model_name,model_type,total_tiles,total_sram_mb,peak_compute_tflops,latency_ms,achieved_tflops,pcu_utilization_pct,total_energy_j,sram_spilled,pipeline_stalls,bottleneck,grid_dim,sram_per_tile_kb,compression,hbm_bandwidth_gb_s
DeepSeek-V3-MoE,moe,256,32,262.144,27.4474,249.742,95.2691,0.338809,Yes,408576,Compute Pipeline Bound (Balanced Design),16x16,128,INT4,2400
LLaMA-3-70B,dense,256,32,262.144,70.8682,255.996,97.6546,0.713877,Yes,1081344,Compute Pipeline Bound (Balanced Design),16x16,128,INT4,4800
DeepSeek-V3-MoE,moe,256,32,262.144,27.3944,250.225,95.4533,0.338809,Yes,408576,Compute Pipeline Bound (Balanced Design),16x16,128,INT4,4800
LLaMA-3-70B,dense,256,64,262.144,73.1802,247.908,94.5693,0.805521,Yes,1081344,Compute Pipeline Bound (Balanced Design),16x16,256,None,1200
DeepSeek-V3-MoE,moe,256,64,262.144,30.411,225.404,85.9848,0.418293,Yes,408576,Compute Pipeline Bound (Balanced Design),16x16,256,None,1200
LLaMA-3-70B,dense,256,64,262.144,72.7578,249.347,95.1183,0.805521,Yes,1081344,Compute Pipeline Bound (Balanced Design),16x16,256,None,2400
DeepSeek-V3-MoE,moe,256,64,262.144,30.0522,228.095,87.0114,0.418293,Yes,408576,Compute Pipeline Bound (Balanced Design),16x16,256,None,2400
LLaMA-3-70B,dense,256,64,262.144,72.5466,250.073,95.3953,0.805521,Yes,1081344,Compute Pipeline Bound (Balanced Design),16x16,256,None,4800
DeepSeek-V3-MoE,moe,256,64,262.144,29.8729,229.465,87.5339,0.418293,Yes,408576,Compute Pipeline Bound (Balanced Design),16x16,256,None,4800
LLaMA-3-70B,dense,256,64,262.144,71.7193,252.957,96.4956,0.740667,Yes,1081344,Compute Pipeline Bound (Balanced Design),16x16,256,FP8,1200
DeepSeek-V3-MoE,moe,256,64,262.144,28.4607,240.85,91.877,0.361546,Yes,408576,Compute Pipeline Bound (Balanced Design),16x16,256,FP8,1200
LLaMA-3-70B,dense,256,64,262.144,71.5154,253.679,96.7708,0.740667,Yes,1081344,Compute Pipeline Bound (Balanced Design),16x16,256,FP8,2400
DeepSeek-V3-MoE,moe,256,64,262.144,28.2931,242.277,92.4214,0.361546,Yes,408576,Compute Pipeline Bound (Balanced Design),16x16,256,FP8,2400
LLaMA-3-70B,dense,256,64,262.144,71.4134,254.041,96.909,0.740667,Yes,1081344,Compute Pipeline Bound (Balanced Design),16x16,256,FP8,4800
DeepSeek-V3-MoE,moe,256,64,262.144,28.2093,242.997,92.696,0.361546,Yes,408576,Compute Pipeline Bound (Balanced Design),16x16,256,FP8,4800
LLaMA-3-70B,dense,256,64,262.144,70.9889,255.56,97.4885,0.70824,Yes,1081344,Compute Pipeline Bound (Balanced Design),16x16,256,INT4,1200
DeepSeek-V3-MoE,moe,256,64,262.144,27.4856,249.395,95.1366,0.333172,Yes,408576,Compute Pipeline Bound (Balanced Design),16x16,256,INT4,1200
LLaMA-3-70B,dense,256,64,262.144,70.8941,255.902,97.6188,0.70824,Yes,1081344,Compute Pipeline Bound (Balanced Design),16x16,256,INT4,2400
DeepSeek-V3-MoE,moe,256,64,262.144,27.4135,250.051,95.3867,0.333172,Yes,408576,Compute Pipeline Bound (Balanced Design),16x16,256,INT4,2400
LLaMA-3-70B,dense,256,64,262.144,70.8468,256.073,97.6841,0.70824,Yes,1081344,Compute Pipeline Bound (Balanced Design),16x16,256,INT4,4800
DeepSeek-V3-MoE,moe,256,64,262.144,27.3775,250.38,95.5123,0.333172,Yes,408576,Compute Pipeline Bound (Balanced Design),16x16,256,INT4,4800
LLaMA-3-70B,dense,1024,64,1048.58,20.4648,886.497,84.543,0.805521,Yes,270336,Compute Pipeline Bound (Balanced Design),32x32,64,None,1200
DeepSeek-V3-MoE,moe,1024,64,1048.58,10.493,653.272,62.3009,0.418293,Yes,102144,NoC Expert Routing Congestion (NoC Bandwidth Limit),32x32,64,None,1200
LLaMA-3-70B,dense,1024,64,1048.58,20.0423,905.182,86.3249,0.805521,Yes,270336,Compute Pipeline Bound (Balanced Design),32x32,64,None,2400
DeepSeek-V3-MoE,moe,1024,64,1048.58,10.1342,676.4,64.5066,0.418293,Yes,102144,NoC Expert Routing Congestion (NoC Bandwidth Limit),32x32,64,None,2400
LLaMA-3-70B,dense,1024,64,1048.58,19.8311,914.823,87.2443,0.805521,Yes,270336,Compute Pipeline Bound (Balanced Design),32x32,64,None,4800
DeepSeek-V3-MoE,moe,1024,64,1048.58,9.95479,688.59,65.669,0.418293,Yes,102144,NoC Expert Routing Congestion (NoC Bandwidth Limit),32x32,64,None,4800
LLaMA-3-70B,dense,1024,64,1048.58,19.0038,954.646,91.0421,0.740667,Yes,270336,Compute Pipeline Bound (Balanced Design),32x32,64,FP8,1200
