model_name,model_type,total_tiles,total_sram_mb,peak_compute_tflops,latency_ms,compute_time_ms,weight_stream_time_ms,noc_total_latency_ms,act_spill_time_ms,achieved_tflops,pcu_utilization_pct,total_energy_j,sram_spilled,bottleneck,grid_dim,sram_mb_size,hbm_bandwidth_gb_s,bus_bandwidth_gb_s
DeepSeek-V3-MoE,moe,65536,64.0,131.072,671.6622506666668,669.0133333333334,1.9626666666666666,0.5384533333333333,0.344064,93.99965412457459,71.71604471174209,2.2624411320320004,True,Compute Pipeline Bound (Balanced Design),256x256,64.0,2400.0,9600.0
LLaMA-3-70B,dense,65536,64.0,131.072,145.7452373333333,144.17919999999998,0.39594666666666667,1.0103466666666667,0.19933866666666666,124.47708199762054,94.9684768658604,0.8089570902016,True,Compute Pipeline Bound (Balanced Design),256x256,64.0,4800.0,2400.0
DeepSeek-V3-MoE,moe,65536,64.0,131.072,672.2223786666667,669.0133333333334,0.9813333333333333,2.1538133333333334,0.172032,93.92132909414357,71.65628745585904,2.2624411320320004,True,Compute Pipeline Bound (Balanced Design),256x256,64.0,4800.0,2400.0
LLaMA-3-70B,dense,65536,64.0,131.072,145.240064,144.17919999999998,0.39594666666666667,0.5051733333333334,0.19933866666666666,124.91003762091428,95.29879579232352,0.8089570902016,True,Compute Pipeline Bound (Balanced Design),256x256,64.0,4800.0,4800.0
DeepSeek-V3-MoE,moe,65536,64.0,131.072,671.145472,669.0133333333334,0.9813333333333333,1.0769066666666667,0.172032,94.07203338950633,71.7712657085467,2.2624411320320004,True,Compute Pipeline Bound (Balanced Design),256x256,64.0,4800.0,4800.0
LLaMA-3-70B,dense,65536,64.0,131.072,144.98747733333332,144.17919999999998,0.39594666666666667,0.2525866666666667,0.19933866666666666,125.12764682838632,95.4648184420672,0.8089570902016,True,Compute Pipeline Bound (Balanced Design),256x256,64.0,4800.0,9600.0
DeepSeek-V3-MoE,moe,65536,64.0,131.072,670.6070186666667,669.0133333333334,0.9813333333333333,0.5384533333333333,0.172032,94.14756704564482,71.82889331485353,2.2624411320320004,True,Compute Pipeline Bound (Balanced Design),256x256,64.0,4800.0,9600.0
LLaMA-3-70B,dense,65536,128.0,131.072,147.33585066666666,144.17919999999998,1.5837866666666667,1.0103466666666667,0.720896,123.13324812810437,93.94321298836088,0.7976828010496,True,Compute Pipeline Bound (Balanced Design),256x256,128.0,1200.0,2400.0
DeepSeek-V3-MoE,moe,65536,128.0,131.072,675.3116160000001,669.0133333333334,3.925333333333333,2.1538133333333334,0.6116693333333333,93.49168258820531,71.32849318558144,2.25116684288,True,Compute Pipeline Bound (Balanced Design),256x256,128.0,1200.0,2400.0
LLaMA-3-70B,dense,65536,128.0,131.072,146.83067733333334,144.17919999999998,1.5837866666666667,0.5051733333333334,0.720896,123.556890070856,94.26642614048461,0.7976828010496,True,Compute Pipeline Bound (Balanced Design),256x256,128.0,1200.0,4800.0
DeepSeek-V3-MoE,moe,65536,128.0,131.072,674.2347093333334,669.0133333333334,3.925333333333333,1.0769066666666667,0.6116693333333333,93.64101013670349,71.44242106376913,2.25116684288,True,Compute Pipeline Bound (Balanced Design),256x256,128.0,1200.0,4800.0
LLaMA-3-70B,dense,65536,128.0,131.072,146.57809066666667,144.17919999999998,1.5837866666666667,0.2525866666666667,0.720896,123.76980608623563,94.42886816881992,0.7976828010496,True,Compute Pipeline Bound (Balanced Design),256x256,128.0,1200.0,9600.0
DeepSeek-V3-MoE,moe,65536,128.0,131.072,673.6962560000001,669.0133333333334,3.925333333333333,0.5384533333333333,0.6116693333333333,93.71585293654948,71.49952158855399,2.25116684288,True,Compute Pipeline Bound (Balanced Design),256x256,128.0,1200.0,9600.0
LLaMA-3-70B,dense,65536,128.0,131.072,146.26269866666664,144.17919999999998,0.7918933333333333,1.0103466666666667,0.360448,124.03669577880254,94.6324888449116,0.7976828010496,True,Compute Pipeline Bound (Balanced Design),256x256,128.0,2400.0,2400.0
DeepSeek-V3-MoE,moe,65536,128.0,131.072,673.2393813333334,669.0133333333334,1.9626666666666666,2.1538133333333334,0.30583466666666664,93.77945052198332,71.54804269560495,2.25116684288,True,Compute Pipeline Bound (Balanced Design),256x256,128.0,2400.0,2400.0
LLaMA-3-70B,dense,65536,128.0,131.072,145.75752533333332,144.17919999999998,0.7918933333333333,0.5051733333333334,0.360448,124.46658803252275,94.96047060586757,0.7976828010496,True,Compute Pipeline Bound (Balanced Design),256x256,128.0,2400.0,4800.0
DeepSeek-V3-MoE,moe,65536,128.0,131.072,672.1624746666668,669.0133333333334,1.9626666666666666,1.0769066666666667,0.30583466666666664,93.92969948599092,71.66267355803751,2.25116684288,True,Compute Pipeline Bound (Balanced Design),256x256,128.0,2400.0,4800.0
LLaMA-3-70B,dense,65536,128.0,131.072,145.50493866666665,144.17919999999998,0.7918933333333333,0.2525866666666667,0.360448,124.68265355490706,95.12531551735462,0.7976828010496,True,Compute Pipeline Bound (Balanced Design),256x256,128.0,2400.0,9600.0
DeepSeek-V3-MoE,moe,65536,128.0,131.072,671.6240213333334,669.0133333333334,1.9626666666666666,0.5384533333333333,0.30583466666666664,94.00500465403245,71.72012684176059,2.25116684288,True,Compute Pipeline Bound (Balanced Design),256x256,128.0,2400.0,9600.0
LLaMA-3-70B,dense,65536,128.0,131.072,145.72612266666664,144.17919999999998,0.39594666666666667,1.0103466666666667,0.180224,124.49340946099144,94.98093373183552,0.7976828010496,True,Compute Pipeline Bound (Balanced Design),256x256,128.0,4800.0,2400.0
